,1.a,1.b,1.c,2.a,2.b,2.c,3.a,3.b,3.c,4,5,pont,pont
0,3,2,1,2,1,2,1,2,2,b,a,7,7
1,3,2,1,2,1,2,1,3,2,b,a,8,8
2,3,2,1,2,1,2,1,3,2,b,a,8,8
3,3,2,1,1,3,2,1,3,2,b,a,10,10
4,3,2,1,1,2,2,1,2,2,b,a,8,8
5,3,2,1,1,3,2,1,3,2,b,a,10,10
6,3,2,1,1,2,2,1,2,2,b,a,8,8
7,3,2,1,3,2,2,1,3,2,b,a,8,8
8,3,2,1,1,3,2,1,3,2,b,a,10,10
9,3,2,1,1,3,2,1,3,2,b,a,10,10
10,3,2,1,1,2,2,1,2,2,a,a,8,8
11,3,2,1,1,3,2,1,2,2,b,a,9,9
12,3,2,1,1,3,2,1,2,2,b,a,9,9
13,3,2,1,1,3,2,1,2,2,b,a,9,9
14,3,2,1,1,3,2,1,2,2,b,a,9,9
15,3,2,1,1,3,2,1,2,2,b,a,9,9
16,3,2,1,1,3,2,1,2,2,b,a,9,9
17,3,2,1,1,3,2,1,2,2,b,a,9,9
18,3,2,1,1,3,2,1,3,2,b,a,10,10
19,1,2,1,1,3,2,1,2,2,b,c,7,7
20,3,2,1,1,3,2,1,3,2,b,a,10,10
21,3,2,1,1,3,2,1,3,2,a,a,10,10
22,3,2,1,1,2,2,1,3,2,b,a,9,9
23,3,2,1,1,2,2,1,3,2,b,a,9,9
24,3,2,1,1,2,2,1,3,2,a,a,9,9
25,3,2,1,1,1,3,1,2,2,b,a,7,7
26,3,1,2,1,2,2,3,3,2,b,a,6,6
27,3,2,1,1,2,2,1,3,2,b,a,9,9
28,3,2,1,1,2,3,2,1,3,b,a,5,5
29,3,2,1,1,2,3,2,1,3,b,a,5,5
30,3,2,1,3,1,2,1,3,2,c,a,9,9
31,3,2,1,1,2,2,2,3,2,b,a,8,8
32,3,2,1,1,3,2,1,3,2,b,a,10,10
33,3,2,1,1,3,2,1,1,3,c,b,8,8
34,3,2,1,1,3,2,1,3,2,d,a,10,10
35,3,2,1,1,1,2,1,3,2,c,a,10,10
36,3,2,1,1,1,2,2,3,2,b,a,8,8
37,2,1,3,1,1,2,1,3,3,a,c,4,4
38,3,2,1,1,2,2,3,3,2,a,a,8,8
39,3,2,1,3,2,2,1,3,2,b,a,8,8
40,2,1,3,3,1,2,2,3,1,c,a,4,4
41,3,2,1,1,3,2,1,3,2,a,a,10,10
42,3,1,2,1,2,2,1,2,2,b,a,6,6
43,3,1,2,1,2,3,1,2,2,c,a,6,6
44,3,2,1,1,2,2,1,3,2,b,a,9,9
45,3,2,1,1,2,2,1,2,2,a,a,8,8
46,3,2,1,1,3,2,1,3,2,b,c,9,9
47,3,2,1,1,2,2,1,2,2,a,b,7,7
48,3,2,1,1,3,2,1,3,2,d,a,10,10
49,3,2,1,1,2,3,1,2,3,a,a,6,6
50,3,2,1,3,1,2,3,1,2,d,c,5,5
51,3,2,1,1,2,2,1,3,2,a,a,9,9
52,3,2,1,1,2,2,1,3,2,b,a,9,9
53,3,2,1,1,3,2,2,2,2,b,a,8,8
54,3,2,1,1,2,3,2,2,3,c,a,6,6
55,3,2,1,2,3,3,3,1,3,d,a,5,5
