,1.a,1.b,1.c,2.a,2.b,2.c,3.a,3.b,3.c,4,5
0,2,1,0,0,0,1,0,2,1,0,0
1,2,1,0,0,0,1,0,2,1,0,0
2,2,1,0,2,1,1,0,2,1,1,0
3,2,1,0,1,2,0,2,1,0,1,1
4,2,1,0,1,2,0,2,1,0,1,0
5,2,1,0,0,0,1,0,2,1,0,0
6,2,1,0,0,0,1,0,2,1,0,0
7,2,1,0,0,0,1,0,2,1,0,0
8,2,1,0,0,0,0,0,1,0,0,0
9,2,1,0,1,2,1,2,1,0,1,0
10,2,1,0,0,2,1,0,1,2,0,0
11,2,1,0,0,2,1,0,1,1,1,2
12,2,1,0,1,0,2,0,2,1,1,0
13,2,1,0,1,2,0,2,1,0,1,2
14,2,1,0,1,0,2,0,1,2,2,1
15,2,1,0,2,0,1,2,1,1,3,1
16,0,0,1,0,0,1,0,1,2,1,0
17,2,1,0,1,2,0,2,0,1,2,0
18,2,1,0,2,1,0,2,0,0,1,2
19,2,0,1,1,2,0,2,1,0,1,1
20,2,1,0,0,1,2,0,1,2,2,0
21,2,1,0,2,1,0,0,2,1,1,0
22,2,1,0,1,2,0,2,1,0,0,1
23,2,1,0,0,1,2,0,1,2,2,0
24,2,1,0,0,0,1,0,2,1,1,0
25,2,1,0,0,0,1,0,2,1,1,0
26,1,2,0,0,1,0,0,1,0,1,0
27,2,0,1,0,1,2,0,1,2,0,1
28,1,2,0,0,1,2,1,2,2,1,1
29,2,1,0,1,0,1,0,2,0,1,0
30,2,1,0,0,0,0,0,2,1,1,0
31,2,0,1,2,0,2,1,0,2,2,1
32,2,1,0,1,0,1,1,2,1,1,1
33,2,0,1,1,1,2,0,1,2,1,1
34,2,0,1,2,0,1,0,2,0,2,1
35,2,0,1,1,1,2,2,1,2,1,0
36,2,0,1,2,1,1,2,1,0,2,1
37,2,0,1,0,1,0,1,2,0,1,1
38,2,1,0,0,1,1,0,2,1,2,0
39,2,1,0,1,2,0,1,2,0,3,1
40,1,2,0,1,0,2,0,0,2,2,0
41,2,1,0,0,2,1,0,2,1,1,0
42,2,0,1,2,0,1,0,1,1,1,0
43,2,0,1,0,1,0,1,0,1,3,1
44,2,0,1,2,2,1,0,1,1,1,0
45,2,0,1,2,1,2,0,1,0,0,0
46,2,1,0,0,0,1,0,2,1,3,0
47,2,1,0,2,1,0,1,0,2,0,1
48,2,0,1,1,0,2,0,1,2,0,1
49,2,1,0,1,0,1,0,2,1,1,0
50,2,1,2,1,0,1,0,0,1,0,1
51,2,1,0,0,1,2,0,1,2,0,0
52,2,0,1,2,0,1,1,2,1,2,2
53,2,0,1,2,0,1,1,2,1,2,2
54,2,0,1,2,2,1,1,0,1,1,0
55,2,0,1,0,2,1,0,2,1,2,2
56,2,1,0,1,0,2,0,1,2,3,1
57,2,1,0,1,1,1,0,2,1,1,0
58,2,1,0,2,1,0,0,1,0,3,0
59,0,1,2,0,0,1,2,0,2,1,2
60,2,0,1,0,2,1,0,2,1,0,0
61,2,0,1,2,0,1,2,1,0,0,0
62,0,1,1,0,2,0,0,1,0,0,1
63,1,0,2,2,0,1,1,0,2,2,0
64,2,1,0,2,1,2,2,0,1,1,1
65,2,1,0,2,0,1,1,0,1,1,0
66,2,1,0,0,1,2,0,0,2,0,1
67,2,1,0,1,0,1,1,2,0,2,1
68,2,1,0,2,0,1,1,0,1,2,1
69,1,0,2,1,2,0,1,2,0,1,0
70,0,2,1,2,0,0,0,1,0,0,0
71,2,1,0,0,1,1,1,2,1,0,0
72,0,0,1,1,0,2,0,0,2,0,0
73,2,1,0,0,2,1,2,0,1,2,2
74,2,0,1,2,1,1,2,0,1,2,0
75,2,1,0,2,1,1,1,0,1,2,1
76,1,0,1,1,2,1,0,1,2,2,0
77,2,1,0,0,1,1,0,1,1,3,1
78,2,1,0,1,0,1,0,2,1,2,0
79,2,0,1,0,1,2,0,1,2,1,0
80,2,1,0,1,2,0,1,0,2,1,1
81,0,1,2,1,0,2,2,1,0,2,2
82,2,0,1,1,2,1,0,1,2,1,0
83,2,0,1,0,1,2,1,0,2,1,1
84,0,2,1,1,1,0,2,2,1,1,2
85,2,0,1,1,0,1,0,0,1,3,0
86,1,2,0,2,1,0,2,0,1,2,0
87,2,0,1,2,1,0,0,2,1,1,0
88,2,1,0,2,0,1,0,2,1,2,0
89,0,2,1,1,2,0,1,2,0,1,3
90,1,0,2,1,0,1,0,2,1,2,1
91,2,1,0,2,1,1,0,1,2,1,0
92,1,2,0,1,0,2,2,0,1,2,0
93,1,2,0,1,2,0,2,1,0,0,1
94,2,1,0,0,2,1,0,2,1,1,0
95,2,1,0,1,0,2,0,2,0,1,3
96,2,1,0,1,0,2,0,2,1,1,0
97,1,0,2,2,1,0,1,0,2,2,3
98,2,2,0,1,0,2,1,2,0,1,1
99,2,1,0,0,1,2,0,1,2,1,0
100,2,1,1,1,2,1,1,2,0,2,3
101,2,1,0,1,0,1,2,1,2,1,0
102,2,0,1,1,2,0,2,0,1,2,0
103,2,1,2,0,1,2,0,1,2,0,2
104,2,0,1,2,1,0,1,2,0,2,2
105,2,0,1,2,1,0,1,2,0,2,2
106,1,0,2,0,1,2,1,0,2,1,0
107,2,1,0,0,1,2,0,1,2,1,1
108,0,1,2,1,0,1,2,1,0,2,0
