,1,2,3,4,5,tmedio
0,122.7,190.5,45.1,41.79,12.46,82.51
1,12.74,251.36,56.37,204.56,239.25,152.856
2,82.25,122.33,88.53,33.76,9.72,67.31800000000001
3,18.79,9.92,12.82,27.48,14.07,16.616000000000003
4,233.08,55.14,49.7,22.9,11.41,74.446
5,54.95,16.0,31.69,109.31,44.09,51.20799999999999
6,122.96,79.65,31.54,91.26,42.43,73.56800000000001
7,318.41,55.72,54.22,14.47,17.41,92.04600000000002
8,175.17,221.06,24.97,5.6,5.68,86.49600000000001
9,41.74,41.62,49.75,92.51,24.48,50.019999999999996
10,231.49,156.87,165.39,20.32,16.05,118.024
11,7.43,44.85,18.24,59.81,70.52,40.169999999999995
12,71.81,53.47,37.51,60.14,52.35,55.056000000000004
13,83.68,61.29,142.34,31.78,11.11,66.04
14,73.52,43.09,42.27,62.0,48.75,53.926
15,76.17,44.35,82.86,14.28,25.64,48.660000000000004
16,40.96,17.61,16.1,35.7,21.51,26.375999999999998
17,29.72,32.47,21.03,21.86,28.9,26.796
18,227.13,103.2,61.83,156.54,231.52,156.04399999999998
19,22.51,22.4,17.76,40.7,18.3,24.334
20,39.23,33.87,22.9,50.09,15.38,32.294
21,176.98,80.35,25.58,61.45,51.66,79.204
22,65.72,26.27,24.63,19.3,13.04,29.791999999999994
23,14.48,57.18,45.79,63.89,32.47,42.76199999999999
24,121.01,251.71,56.47,207.75,243.5,176.08800000000002
25,47.71,26.13,20.4,13.9,17.36,25.1
26,49.98,36.91,20.05,24.97,25.53,31.487999999999992
27,45.7,26.49,19.52,28.97,26.35,29.406
28,17.11,18.91,16.67,61.64,30.36,28.938
29,40.49,31.39,44.96,18.56,25.01,32.082
30,35.65,67.49,24.55,58.3,8.19,38.836
31,22.76,27.12,12.56,13.23,9.7,17.074
32,38.6,39.52,37.49,36.14,18.52,34.054
33,140.03,23.38,31.85,28.88,26.36,50.1
34,123.58,43.82,26.72,17.97,12.56,44.93
35,36.5,35.63,39.82,50.79,28.59,38.266
36,34.66,29.59,43.75,35.96,32.69,35.33
37,39.04,63.73,22.32,22.61,23.13,34.166
38,121.1,83.67,21.69,30.33,18.19,54.995999999999995
39,22.39,18.37,16.21,21.77,22.52,20.252000000000002
40,27.34,28.03,19.01,16.28,29.47,24.026000000000003
41,65.72,66.46,30.46,63.77,7.64,46.81
42,11.67,58.16,11.96,11.02,19.37,22.436
43,62.82,23.96,18.95,20.26,24.3,30.058000000000003
44,21.35,19.08,12.96,21.83,18.34,18.712
45,35.86,25.65,49.25,18.67,27.06,31.298000000000002
46,100.04,22.82,75.55,36.25,26.92,52.31600000000001
47,62.55,13.43,7.28,60.08,23.12,33.291999999999994
48,36.4,73.15,22.99,16.36,12.72,32.324000000000005
49,10.8,15.47,16.53,31.34,18.0,18.428
50,34.17,10.02,10.27,26.94,11.74,18.627999999999997
51,36.94,15.75,17.11,17.54,23.6,22.188
52,80.8,58.8,38.63,55.53,6.13,47.977999999999994
53,28.73,29.42,34.39,29.46,23.05,29.01
54,87.96,48.27,52.6,55.48,5.58,49.977999999999994
55,7.7,5.44,6.52,4.73,7.48,6.3740000000000006
