,1,2,3,4,5,tmedio
0,200.65,84.07,95.76,27.2,18.66,85.268
1,152.9,133.39,114.73,23.06,21.34,89.08399999999999
2,114.31,133.85,110.46,24.25,17.64,80.102
3,13.59,46.03,103.75,69.42,16.67,49.89200000000001
4,25.95,163.36,28.68,116.22,9.81,68.804
5,51.39,56.06,106.03,103.13,17.45,66.812
6,189.66,192.01,26.59,95.46,4.56,101.65599999999998
7,41.25,282.98,23.14,57.25,12.24,83.372
8,102.9,30.62,91.54,126.77,31.63,76.692
9,9.18,14.85,14.01,6.79,5.63,10.092
10,23.29,113.65,65.02,81.16,10.63,58.75
11,122.37,81.75,42.06,152.12,6.59,80.978
12,96.02,57.24,122.17,59.1,53.82,77.67
13,201.47,24.88,72.38,146.79,13.13,91.72999999999999
14,73.58,14.9,57.54,127.93,48.04,64.39800000000001
15,16.07,61.55,49.13,143.91,9.52,56.03599999999999
16,34.38,30.63,75.61,138.7,17.84,59.431999999999995
17,27.94,32.21,70.64,140.75,16.87,57.682
18,42.91,171.68,18.01,88.66,16.57,67.566
19,65.17,122.74,46.51,131.8,32.87,79.81800000000001
20,6.99,49.63,36.26,139.49,36.04,53.682
21,45.46,131.35,25.83,97.94,12.46,62.60799999999999
22,59.62,121.47,34.04,98.43,11.84,65.08
23,117.13,64.69,30.41,146.31,22.61,76.22999999999999
24,59.83,65.83,20.67,35.01,17.78,39.824
25,37.85,31.49,17.87,132.57,23.77,48.71
26,22.85,16.43,21.64,20.97,33.11,23.0
27,49.51,61.34,56.89,118.6,27.61,62.790000000000006
28,6.22,67.25,21.47,77.83,25.82,39.717999999999996
29,63.68,63.94,18.64,82.15,23.39,50.36
30,38.69,24.88,14.18,74.06,34.49,37.260000000000005
31,24.44,49.74,19.36,66.93,39.92,40.07800000000001
32,113.97,224.55,65.21,13.73,12.47,85.986
33,11.05,60.78,90.17,21.38,5.19,37.714
34,64.3,175.69,20.96,63.73,13.43,67.622
35,49.12,59.27,30.16,42.26,36.35,43.432
36,12.65,23.95,12.71,67.82,41.17,31.660000000000004
37,22.9,24.28,26.4,7.82,7.5,17.78
38,26.93,137.21,24.44,19.28,13.55,44.282000000000004
39,17.66,30.45,9.75,75.0,36.53,33.878
40,18.41,10.55,10.63,21.45,23.02,16.812
41,17.31,32.29,34.93,26.05,15.01,25.118000000000002
42,18.01,35.52,19.25,127.72,14.56,43.012
43,79.63,33.37,21.09,114.3,22.58,54.193999999999996
44,17.39,40.27,16.2,50.67,16.22,28.15
45,23.68,34.45,28.38,46.87,56.52,37.980000000000004
46,23.08,14.5,22.48,72.36,44.17,35.318000000000005
47,17.4,32.31,21.83,32.52,21.03,25.018
48,15.13,13.45,10.56,35.89,39.58,22.922
49,21.94,53.99,15.73,69.64,49.41,42.142
50,17.56,73.08,76.12,46.98,41.87,51.122
51,21.57,94.95,27.22,27.31,67.07,47.624
52,19.38,83.21,20.39,106.71,15.94,49.126
53,90.01,48.67,40.03,40.76,14.29,46.751999999999995
54,40.05,41.76,45.46,33.92,28.21,37.88
55,12.07,33.99,19.88,50.31,60.37,35.324
