,1,2,3,4,5,tmedio
0,57.25,40.19,232.63,12.35,16.17,71.718
1,98.6,181.82,26.39,26.86,51.7,77.07399999999998
2,124.65,217.88,188.12,40.08,33.51,120.848
3,125.72,142.05,26.45,163.99,43.82,100.40599999999999
4,126.19,9.34,53.62,98.62,55.61,68.676
5,68.83,85.71,156.28,39.91,19.33,74.012
6,29.21,33.53,62.53,140.79,43.55,61.922000000000004
7,21.24,32.59,78.57,133.08,38.1,60.71600000000001
8,114.06,83.62,63.5,39.0,11.32,62.3
9,82.52,138.53,60.21,156.55,3.86,88.334
10,293.61,72.98,64.62,23.23,24.77,95.84200000000001
11,129.53,83.44,60.89,14.42,9.91,59.63800000000001
12,133.35,53.32,123.23,99.05,84.2,98.63
13,22.01,129.08,15.4,8.82,6.58,36.378
14,144.34,61.14,100.58,15.8,12.16,66.804
15,26.04,82.25,31.59,67.2,32.4,47.896
16,35.43,102.77,36.62,34.41,6.36,43.118
17,39.09,167.67,43.7,37.46,25.96,62.77599999999999
18,18.66,16.09,98.5,41.16,21.48,39.178
19,15.09,45.94,25.05,167.78,73.75,65.522
20,106.79,99.08,101.65,61.72,33.52,80.55199999999999
21,23.43,62.85,113.87,130.85,57.75,77.75
22,24.49,14.64,20.95,153.81,89.67,60.712
23,145.41,81.13,99.04,63.05,43.26,86.378
24,289.62,174.56,53.76,52.6,30.2,120.14800000000002
25,21.45,20.09,7.87,92.82,43.18,37.082
26,152.77,56.63,22.55,16.34,6.1,50.878
27,89.64,34.66,25.31,8.15,26.2,36.791999999999994
28,106.01,87.68,23.23,25.98,12.12,51.004
29,117.76,129.48,153.0,52.19,12.64,93.014
30,77.94,81.64,75.64,88.85,14.11,67.636
31,35.83,19.06,22.27,42.84,34.08,30.815999999999995
32,19.91,37.98,19.64,38.98,32.7,29.841999999999995
33,48.7,75.8,31.14,101.9,6.14,52.73599999999999
34,68.16,40.86,33.95,12.91,19.5,35.076
35,84.61,46.4,44.48,20.66,26.05,44.44
36,67.39,43.18,30.27,12.76,20.14,34.748000000000005
37,11.89,75.89,30.59,56.61,12.23,37.442
38,42.08,26.66,60.45,28.34,24.32,36.37
39,18.45,13.41,12.21,56.44,23.19,24.74
40,19.15,15.05,13.86,24.08,14.64,17.356
41,21.63,23.19,12.57,36.96,17.53,22.375999999999998
42,22.58,31.75,38.85,46.25,43.13,36.512
43,94.35,52.65,44.68,27.69,26.71,49.216
44,52.89,17.66,29.78,62.69,17.57,36.117999999999995
45,47.19,27.68,30.07,24.12,9.29,27.669999999999998
46,38.01,79.05,24.01,160.51,37.89,67.89399999999999
47,10.25,43.69,38.41,26.61,28.49,29.49
48,21.57,20.66,19.4,42.76,26.03,26.084000000000003
49,20.35,77.62,11.99,41.36,21.18,34.5
50,52.51,33.54,34.09,20.91,27.8,33.77
51,28.8,22.76,42.77,58.84,44.65,39.56400000000001
52,36.43,29.25,43.81,20.35,19.29,29.826
53,39.66,31.97,41.83,18.93,14.97,29.471999999999998
54,28.77,47.41,43.91,81.05,20.94,44.416
55,30.97,50.29,42.12,36.25,90.35,49.995999999999995
56,29.38,23.41,33.9,23.78,107.2,43.534000000000006
57,23.35,93.59,32.2,40.29,37.05,45.29599999999999
58,51.82,26.33,41.92,45.46,41.79,41.464
59,46.54,11.6,9.25,15.82,15.44,19.73
60,16.76,31.16,18.72,39.02,17.65,24.662
61,16.24,33.37,36.97,26.59,43.94,31.422000000000004
62,64.43,65.75,22.94,37.14,26.59,43.37
63,81.51,40.71,45.17,57.66,23.32,49.67399999999999
64,55.21,65.73,31.24,33.66,60.25,49.218
65,64.79,73.93,47.56,74.02,24.3,56.92
66,32.7,82.31,48.22,60.96,43.57,53.55200000000001
67,42.45,84.56,18.54,10.41,9.31,33.054
68,90.27,16.1,87.44,30.75,5.75,46.062
69,95.88,72.89,60.79,47.5,15.71,58.55399999999999
70,213.7,18.12,19.64,18.71,11.76,56.38599999999999
71,21.0,21.55,22.57,12.37,37.73,23.044
72,51.57,111.51,29.7,72.03,13.68,55.698
73,16.2,34.14,42.08,21.63,39.63,30.736
74,25.99,24.28,21.66,37.38,25.91,27.044
75,56.76,72.46,28.05,31.11,12.39,40.153999999999996
76,39.89,37.59,134.25,27.48,16.81,51.20399999999999
77,163.81,39.25,44.65,23.37,16.66,57.548
78,33.74,39.71,29.22,49.35,43.26,39.056
79,31.17,28.62,28.04,139.04,25.84,50.542
80,30.26,43.27,24.02,33.73,39.66,34.188
81,12.05,7.29,9.42,34.49,4.88,13.626
